age,age_group,bmi,bmi_category,calories,duration,heart_rate,height,weight,Intensity Index,Calorie per kg,Gender,Gender Numeric,scaled_intensity_index,Age group 10 year,Intensity Level,duration_bin,heart_rate_bin
21,18-23,24.11403803,Normal,34.0,11,90,181,79,8.799312473,0.430379747,Male,0,1.381466416,15-24,Very Low,11-20 min,Moderate (80-99 bpm)
76,72-77,23.61275089,Normal,136.0,22,98,154,56,16.13402665,2.428571429,Female,1,1.718392407,75-80,Very Low,21-30 min,Moderate (80-99 bpm)
71,66-71,25.97867957,Overweight,231.0,26,111,183,87,26.91881595,2.655172414,Male,0,2.213800372,65-74,Low,21-30 min,High (100-119 bpm)
40,36-41,25.1486054,Overweight,126.0,22,101,162,66,18.05161334,1.909090909,Female,1,1.806478293,35-44,Very Low,21-30 min,High (100-119 bpm)
56,54-59,23.73995617,Normal,102.0,17,99,148,52,12.13628559,1.961538462,Female,1,1.534752958,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
38,36-41,23.93606231,Normal,45.0,11,85,157,59,7.181871274,0.762711864,Female,1,1.307167955,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
23,18-23,23.89325888,Normal,125.0,22,105,193,89,21.79249642,1.404494382,Male,0,1.978318764,15-24,Very Low,21-30 min,High (100-119 bpm)
23,18-23,23.83673469,Normal,26.0,8,91,175,73,6.220034727,0.356164384,Male,0,1.26298522,15-24,Very Low,0-10 min,Moderate (80-99 bpm)
32,30-35,23.73677432,Normal,9.0,3,84,199,94,2.443230648,0.095744681,Male,0,1.089494689,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
51,48-53,25.18107741,Overweight,152.0,26,97,188,89,23.79250042,1.707865169,Male,0,2.070190555,45-54,Low,21-30 min,Moderate (80-99 bpm)
32,30-35,26.7979077,Overweight,32.0,8,89,197,104,7.261003787,0.307692308,Male,0,1.31080297,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
64,60-65,21.90758246,Normal,91.0,16,95,157,54,11.16967323,1.685185185,Female,1,1.490350843,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
49,48-53,21.77384236,Normal,64.0,12,95,166,60,8.830402029,1.066666667,Female,1,1.38289454,45-54,Very Low,11-20 min,Moderate (80-99 bpm)
59,54-59,23.37472608,Normal,66.0,15,87,185,80,11.67227484,0.825,Female,1,1.513438252,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
20,18-23,24.99454003,Normal,44.0,11,93,200,103,10.38231607,0.427184466,Male,0,1.454182959,15-24,Very Low,11-20 min,Moderate (80-99 bpm)
74,72-77,24.46897126,Normal,187.0,24,102,196,94,23.73424058,1.989361702,Male,0,2.067514343,65-74,Low,21-30 min,High (100-119 bpm)
33,30-35,24.48979592,Normal,174.0,24,114,140,48,18.95556404,3.625,Female,1,1.848001995,25-34,Very Low,21-30 min,High (100-119 bpm)
45,42-47,22.79032897,Normal,137.0,21,108,174,69,18.83942292,1.985507246,Female,1,1.842666959,45-54,Very Low,21-30 min,High (100-119 bpm)
38,36-41,26.36560303,Overweight,90.0,20,94,172,78,16.60371043,1.153846154,Male,0,1.739967709,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
33,30-35,23.88844098,Normal,102.0,20,99,183,80,17.70965838,1.275,Male,0,1.790770317,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
66,60-65,26.29656684,Overweight,56.0,13,82,185,90,10.11296396,0.622222222,Male,0,1.441810053,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
39,36-41,23.87543253,Normal,179.0,27,110,170,69,24.67067287,2.594202899,Female,1,2.110530112,35-44,Low,21-30 min,High (100-119 bpm)
57,54-59,24.61810377,Normal,125.0,21,102,178,78,18.91763178,1.602564103,Female,1,1.846259546,55-64,Very Low,21-30 min,High (100-119 bpm)
31,30-35,21.78649237,Normal,18.0,5,80,153,51,2.856571371,0.352941176,Female,1,1.108481827,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
25,24-29,22.89307408,Normal,145.0,25,107,181,75,23.16617955,1.933333333,Male,0,2.041420003,25-34,Low,21-30 min,High (100-119 bpm)
31,30-35,23.45679012,Normal,42.0,11,92,180,76,8.822411462,0.552631579,Male,0,1.382527487,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
40,36-41,22.30935641,Normal,41.0,10,86,172,66,6.986673028,0.621212121,Female,1,1.298201367,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
22,18-23,24.69040546,Normal,37.0,8,93,161,64,5.952,0.578125,Female,1,1.250672829,15-24,Very Low,0-10 min,Moderate (80-99 bpm)
28,24-29,27.15271059,Overweight,24.0,7,89,179,87,5.81095715,0.275862069,Male,0,1.244193913,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
48,42-47,24.85836513,Normal,196.0,28,106,186,86,27.52409969,2.279069767,Male,0,2.241604567,45-54,Low,21-30 min,High (100-119 bpm)
26,24-29,23.88844098,Normal,5.0,3,78,183,80,2.092959627,0.0625,Male,0,1.073404708,25-34,Very Low,0-10 min,Low (<=79 bpm)
38,36-41,21.46193662,Normal,10.0,3,80,178,68,1.9790907,0.147058824,Female,1,1.068174048,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
51,48-53,25.0,Overweight,239.0,29,114,180,81,29.754,2.950617284,Male,0,2.34403683,45-54,Low,21-30 min,High (100-119 bpm)
67,66-71,28.13938199,Overweight,139.0,17,105,195,107,18.46418357,1.299065421,Male,0,1.825430038,65-74,Very Low,11-20 min,High (100-119 bpm)
22,18-23,25.2493372,Overweight,186.0,28,113,178,80,28.29967632,2.325,Male,0,2.277231303,15-24,Low,21-30 min,High (100-119 bpm)
24,18-23,21.63331531,Normal,174.0,30,104,172,64,24.96,2.71875,Female,1,2.123820587,15-24,Low,21-30 min,High (100-119 bpm)
22,18-23,24.85795455,Normal,13.0,5,77,176,77,3.378361289,0.168831169,Female,1,1.132450667,15-24,Very Low,0-10 min,Low (<=79 bpm)
21,18-23,24.55775234,Normal,99.0,21,94,155,59,15.16258171,1.677966102,Female,1,1.673768303,15-24,Very Low,21-30 min,Moderate (80-99 bpm)
67,66-71,25.24262327,Overweight,188.0,24,103,200,103,25.08805995,1.825242718,Male,0,2.129703123,65-74,Low,21-30 min,High (100-119 bpm)
24,18-23,23.5,Normal,166.0,24,112,200,94,26.06112691,1.765957447,Male,0,2.174401736,15-24,Low,21-30 min,High (100-119 bpm)
44,42-47,27.7488727,Overweight,64.0,15,88,186,96,12.93330584,0.666666667,Male,0,1.571364724,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
33,30-35,21.75546853,Normal,167.0,27,105,159,55,21.02492271,3.036363636,Female,1,1.943059649,25-34,Very Low,21-30 min,High (100-119 bpm)
56,54-59,25.73708141,Overweight,37.0,8,87,187,90,6.602835754,0.411111111,Male,0,1.280569493,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
51,48-53,25.23720546,Overweight,21.0,6,79,200,104,4.833870499,0.201923077,Male,0,1.199310652,45-54,Very Low,0-10 min,Low (<=79 bpm)
46,42-47,24.48565201,Normal,189.0,24,113,183,82,24.55820449,2.304878049,Male,0,2.105363787,45-54,Low,21-30 min,High (100-119 bpm)
68,66-71,23.55555556,Normal,30.0,8,76,150,53,4.426306813,0.566037736,Female,1,1.180588887,65-74,Very Low,0-10 min,Low (<=79 bpm)
56,54-59,27.39800347,Overweight,111.0,18,96,192,101,17.36618507,1.099009901,Male,0,1.774992595,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
67,66-71,24.73246136,Normal,186.0,26,108,145,52,20.24877596,3.576923077,Female,1,1.907406724,65-74,Very Low,21-30 min,High (100-119 bpm)
61,60-65,27.36741418,Overweight,47.0,9,88,194,103,8.03792212,0.45631068,Male,0,1.346491338,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
36,30-35,25.59220998,Overweight,147.0,25,103,179,82,23.31761673,1.792682927,Male,0,2.048376391,35-44,Low,21-30 min,High (100-119 bpm)
60,54-59,26.58420139,Overweight,56.0,10,91,192,98,9.008540392,0.571428571,Male,0,1.391077469,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
50,48-53,24.56747405,Normal,81.0,15,97,170,71,12.26004792,1.14084507,Female,1,1.540438081,45-54,Very Low,11-20 min,Moderate (80-99 bpm)
52,48-53,22.86253448,Normal,79.0,13,102,166,63,10.52479872,1.253968254,Female,1,1.460728014,45-54,Very Low,11-20 min,High (100-119 bpm)
68,66-71,24.1671624,Normal,64.0,11,97,164,65,8.602429017,0.984615385,Female,1,1.372422417,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
32,30-35,24.609375,Normal,14.0,4,82,160,63,2.60341929,0.222222222,Female,1,1.096853083,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
23,18-23,24.44727891,Normal,7.0,2,83,168,69,1.378899561,0.101449275,Female,1,1.040603785,15-24,Very Low,0-10 min,Moderate (80-99 bpm)
77,72-77,26.30901656,Overweight,186.0,25,99,187,92,23.73936604,2.02173913,Male,0,2.067749785,75-80,Low,21-30 min,Moderate (80-99 bpm)
28,24-29,24.61810377,Normal,48.0,14,90,178,78,11.12801869,0.615384615,Male,0,1.488437408,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
44,42-47,25.224089,Overweight,43.0,9,90,149,56,6.061484967,0.767857143,Female,1,1.255702109,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
42,36-41,26.30901656,Overweight,20.0,5,87,187,92,4.172373425,0.217391304,Male,0,1.168924252,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
28,24-29,24.4646016,Normal,32.0,8,87,163,65,5.611331393,0.492307692,Female,1,1.235023943,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
43,42-47,25.4580659,Overweight,100.0,19,97,167,71,15.52939403,1.408450704,Female,1,1.690618122,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
27,24-29,21.90758246,Normal,47.0,10,92,157,54,6.76059169,0.87037037,Female,1,1.287816139,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
66,60-65,24.65483235,Normal,55.0,12,85,156,60,7.900886026,0.916666667,Female,1,1.340196475,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
50,48-53,22.5981405,Normal,103.0,17,103,176,70,14.64991706,1.471428571,Female,1,1.65021864,45-54,Very Low,11-20 min,High (100-119 bpm)
27,24-29,23.87511478,Normal,78.0,15,98,165,65,11.85151889,1.2,Female,1,1.521671971,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
65,60-65,24.65303141,Normal,60.0,13,85,148,54,8.120058497,1.111111111,Female,1,1.350264339,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
61,60-65,24.33227705,Normal,194.0,25,107,188,86,24.80692948,2.255813953,Male,0,2.116789169,55-64,Low,21-30 min,High (100-119 bpm)
26,24-29,22.65625,Normal,69.0,14,95,160,58,10.12897823,1.189655172,Female,1,1.442545682,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
29,24-29,25.68956193,Overweight,135.0,25,103,172,76,22.44832956,1.776315789,Male,0,2.008444986,25-34,Low,21-30 min,High (100-119 bpm)
67,66-71,21.95247934,Normal,104.0,20,92,176,68,15.1730287,1.529411765,Female,1,1.674248194,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
60,54-59,23.72281065,Normal,72.0,14,93,173,71,10.970847,1.014084507,Female,1,1.4812176,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
74,72-77,24.33747972,Normal,72.0,14,91,172,72,10.81024847,1.0,Female,1,1.473840378,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
40,36-41,24.87771968,Normal,65.0,14,90,154,59,9.678243642,1.101694915,Female,1,1.421840826,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
53,48-53,26.22291932,Overweight,176.0,26,100,200,107,26.89460913,1.644859813,Male,0,2.212688412,45-54,Low,21-30 min,High (100-119 bpm)
62,60-65,28.06891815,Overweight,23.0,5,84,183,94,4.07205108,0.244680851,Male,0,1.164315865,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
72,66-71,24.96800974,Normal,122.0,15,107,179,80,14.35555642,1.525,Male,0,1.636696948,65-74,Very Low,11-20 min,High (100-119 bpm)
54,48-53,24.39482079,Normal,17.0,4,82,146,52,2.365241637,0.326923077,Female,1,1.085912201,45-54,Very Low,0-10 min,Moderate (80-99 bpm)
26,24-29,22.83737024,Normal,112.0,20,102,170,66,16.57303835,1.696969697,Female,1,1.738558762,25-34,Very Low,11-20 min,High (100-119 bpm)
66,60-65,27.05557989,Overweight,42.0,7,91,197,105,6.527307638,0.4,Male,0,1.277100048,65-74,Very Low,0-10 min,Moderate (80-99 bpm)
44,42-47,24.03170937,Normal,11.0,4,75,179,77,2.632489316,0.142857143,Female,1,1.098188438,35-44,Very Low,0-10 min,Low (<=79 bpm)
20,18-23,24.72927947,Normal,33.0,10,89,196,95,8.674646967,0.347368421,Male,0,1.375739806,15-24,Very Low,0-10 min,Moderate (80-99 bpm)
44,42-47,21.64127424,Normal,165.0,22,115,152,50,17.88980156,3.3,Female,1,1.799045339,35-44,Very Low,21-30 min,High (100-119 bpm)
72,66-71,25.2825699,Overweight,83.0,15,94,164,68,11.62715786,1.220588235,Female,1,1.511365767,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
40,36-41,21.93634741,Normal,120.0,18,109,164,59,15.07040796,2.033898305,Female,1,1.669534228,35-44,Very Low,11-20 min,High (100-119 bpm)
46,42-47,26.86873566,Overweight,86.0,15,98,182,89,13.86795226,0.966292135,Male,0,1.614298459,45-54,Very Low,11-20 min,Moderate (80-99 bpm)
71,66-71,24.87771968,Normal,42.0,9,85,154,59,5.876076497,0.711864407,Female,1,1.247185222,65-74,Very Low,0-10 min,Moderate (80-99 bpm)
57,54-59,26.57589059,Overweight,82.0,14,95,183,89,12.54719491,0.921348315,Male,0,1.553628408,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
46,42-47,24.67702134,Normal,70.0,12,101,166,68,9.994408036,1.029411765,Female,1,1.436364092,45-54,Very Low,11-20 min,High (100-119 bpm)
26,24-29,23.61275089,Normal,20.0,5,85,154,56,3.180408779,0.357142857,Female,1,1.123357559,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
33,30-35,25.38146854,Overweight,93.0,18,99,183,85,16.42922822,1.094117647,Male,0,1.731952729,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
38,36-41,25.35154137,Overweight,55.0,12,95,172,75,9.872689603,0.733333333,Male,0,1.430772857,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
35,30-35,24.33747972,Normal,129.0,25,100,172,72,21.21320344,1.791666667,Male,0,1.951708475,35-44,Very Low,21-30 min,High (100-119 bpm)
27,24-29,25.74193708,Overweight,40.0,10,90,200,104,9.178235124,0.384615385,Male,0,1.398872533,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
21,18-23,22.67995241,Normal,199.0,30,112,164,61,26.24243891,3.262295082,Female,1,2.182730449,15-24,Low,21-30 min,High (100-119 bpm)
62,60-65,26.64359862,Overweight,40.0,9,86,170,77,6.791822436,0.519480519,Male,0,1.289250748,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
70,66-71,22.94811574,Normal,129.0,22,97,167,64,17.072,2.015625,Female,1,1.761478967,65-74,Very Low,21-30 min,Moderate (80-99 bpm)
21,18-23,24.52434635,Normal,101.0,21,95,159,62,15.70864571,1.629032258,Female,1,1.698852192,15-24,Very Low,21-30 min,Moderate (80-99 bpm)
22,18-23,23.80540166,Normal,115.0,22,98,152,55,15.98932394,2.090909091,Female,1,1.711745372,15-24,Very Low,21-30 min,Moderate (80-99 bpm)
23,18-23,22.5308642,Normal,139.0,26,105,180,73,23.32513022,1.904109589,Male,0,2.048721529,15-24,Low,21-30 min,High (100-119 bpm)
25,24-29,26.70362358,Overweight,56.0,15,93,172,79,12.39903121,0.708860759,Male,0,1.54682239,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
39,36-41,24.69040546,Normal,32.0,9,81,161,64,5.832,0.5,Female,1,1.245160533,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
52,48-53,23.71960925,Normal,42.0,9,90,179,76,7.061416289,0.552631579,Female,1,1.301634758,45-54,Very Low,0-10 min,Moderate (80-99 bpm)
73,72-77,24.75009612,Normal,133.0,17,101,200,103,17.42564682,1.291262136,Male,0,1.777724018,65-74,Very Low,11-20 min,High (100-119 bpm)
77,72-77,24.30248706,Normal,202.0,29,108,178,77,27.48318846,2.623376623,Female,1,2.239725277,75-80,Low,21-30 min,High (100-119 bpm)
46,42-47,26.49302563,Overweight,112.0,20,98,177,83,17.85644982,1.34939759,Male,0,1.7975133,45-54,Very Low,11-20 min,Moderate (80-99 bpm)
29,24-29,24.62296091,Normal,74.0,17,91,171,72,13.12673029,1.027777778,Female,1,1.580249832,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
32,30-35,24.25867407,Normal,76.0,17,96,177,76,14.22744615,1.0,Male,0,1.6308121,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
21,18-23,23.91883029,Normal,6.0,2,76,161,62,1.196849197,0.096774194,Female,1,1.032241155,15-24,Very Low,0-10 min,Low (<=79 bpm)
39,36-41,25.73708141,Overweight,84.0,13,105,187,90,12.94952702,0.933333333,Male,0,1.572109857,35-44,Very Low,11-20 min,High (100-119 bpm)
32,30-35,25.1486054,Overweight,15.0,4,85,162,66,2.762173058,0.227272727,Female,1,1.104145565,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
55,54-59,23.53304271,Normal,48.0,10,89,161,61,6.951122212,0.786885246,Female,1,1.296568311,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
